Some weights of DistilBertForSequenceClassification were not initialized from the model checkpoint at /home/models/distilbert and are newly initialized: ['pre_classifier.bias', 'classifier.bias', 'pre_classifier.weight', 'classifier.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[140302930089792] 2024-08-18 00:02:14,511 [INFO] root: clean train dataset: 4422, clean validation dataset: 339
34it [00:08,  4.12it/s][140302930089792] 2024-08-18 00:02:23,719 [INFO] root: Logits Loss: 5.94918966293335, Feature Loss: 0.7703763246536255
35it [00:08,  4.12it/s][140302930089792] 2024-08-18 00:02:23,964 [INFO] root: Logits Loss: 5.8221869468688965, Feature Loss: 0.7176233530044556
36it [00:08,  4.11it/s][140302930089792] 2024-08-18 00:02:24,207 [INFO] root: Logits Loss: 6.290279865264893, Feature Loss: 0.8446943163871765
37it [00:09,  4.11it/s][140302930089792] 2024-08-18 00:02:24,451 [INFO] root: Logits Loss: 5.729893684387207, Feature Loss: 0.7021504044532776
38it [00:09,  4.11it/s][140302930089792] 2024-08-18 00:02:24,694 [INFO] root: Logits Loss: 5.122481822967529, Feature Loss: 0.4651249945163727
39it [00:09,  4.11it/s][140302930089792] 2024-08-18 00:02:24,937 [INFO] root: Logits Loss: 5.244535446166992, Feature Loss: 0.5221022963523865
40it [00:09,  4.11it/s][140302930089792] 2024-08-18 00:02:25,180 [INFO] root: Logits Loss: 4.923361301422119, Feature Loss: 0.4189295172691345
41it [00:10,  4.11it/s][140302930089792] 2024-08-18 00:02:25,423 [INFO] root: Logits Loss: 5.531652927398682, Feature Loss: 0.7247861623764038
42it [00:10,  4.11it/s][140302930089792] 2024-08-18 00:02:25,667 [INFO] root: Logits Loss: 4.089972972869873, Feature Loss: 0.2968796491622925
43it [00:10,  4.11it/s][140302930089792] 2024-08-18 00:02:25,911 [INFO] root: Logits Loss: 4.589866638183594, Feature Loss: 0.44330722093582153
44it [00:10,  4.11it/s][140302930089792] 2024-08-18 00:02:26,153 [INFO] root: Logits Loss: 3.450918197631836, Feature Loss: 0.22186489403247833
45it [00:11,  4.11it/s][140302930089792] 2024-08-18 00:02:26,396 [INFO] root: Logits Loss: 5.509090900421143, Feature Loss: 0.7124954462051392
46it [00:11,  4.12it/s][140302930089792] 2024-08-18 00:02:26,639 [INFO] root: Logits Loss: 5.161121368408203, Feature Loss: 0.7865796089172363
47it [00:11,  4.12it/s][140302930089792] 2024-08-18 00:02:26,881 [INFO] root: Logits Loss: 4.918491840362549, Feature Loss: 0.6920443773269653
48it [00:11,  4.12it/s][140302930089792] 2024-08-18 00:02:27,124 [INFO] root: Logits Loss: 4.0192646980285645, Feature Loss: 0.4269517958164215
49it [00:12,  4.12it/s][140302930089792] 2024-08-18 00:02:27,367 [INFO] root: Logits Loss: 4.888895511627197, Feature Loss: 0.6642040610313416
